,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
f(x) = x^10-1,,,,,,,,,,f(x) = x^2-4,,,,,
x0,x1,xi,f(x0),f(x1),Solution,,,,,x0,x1,xi,f(x0),f(x1),Solution
x0,x1,xi,f(x0),f(x1),Solution,,,,,,,,,,
0,2,1.307692308,-1,9,n/a,,,,,,,,,,
2,1.307692308,0.7983047758,9,2.543923532,n/a,,,,,,,,,,
1.307692308,0.7983047758,0.5958393188,2.543923532,0.3070568375,n/a,,,,,,,,,,
0.7983047758,0.5958393188,0.6942088355,0.3070568375,-0.1926231286,n/a,,,,,,,,,,
0.5958393188,0.6942088355,0.6824639418,-0.1926231286,0.02876605842,n/a,,,,,,,,,,
0.6942088355,0.6824639418,0.6823278198,0.02876605842,0.0003263216016,n/a,,,,,,,,,,
0.6824639418,0.6823278198,0.6823278038,0.0003263216016,0.00000003826125727,n/a,,,,,,,,,,
0.6823278198,0.6823278038,0.6823278038,0.00000003826125727,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
0.6823278038,0.6823278038,0.6823278038,0,0,solution,,,,,,,,,,
,,,,,,,,,,,,,,,
f(x) = x^2+3x+1,,,,,,,,,,,,,,,
x0,x1,xi,f(x0),f(x1),Solution,,,,,,,,,,
0,2,0.4285714286,1,11,n/a,,,,,,,,,,
2,0.4285714286,-0.2116402116,11,2.469387755,n/a,,,,,,,,,,
0.4285714286,-0.2116402116,-0.3707071695,2.469387755,0.4098709443,n/a,,,,,,,,,,
-0.2116402116,-0.3707071695,-0.381909887,0.4098709443,0.02530229707,n/a,,,,,,,,,,
-0.3707071695,-0.381909887,-0.3819660098,0.02530229707,0.000125500879,n/a,,,,,,,,,,
-0.381909887,-0.3819660098,-0.3819660113,0.000125500879,0.000000003149778105,n/a,,,,,,,,,,
-0.3819660098,-0.3819660113,-0.3819660113,0.000000003149778105,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
-0.3819660113,-0.3819660113,-0.3819660113,0,0,solution,,,,,,,,,,
